id,headword,pos,meaning,gender,declension,genitive,conjugation,principal_parts,forms
heurisko,εὑρίσκω,verb,find,,,,omega,"εὑρίσκω;εὑρήσω;εὗρον;εὕρηκα;εὕρημαι;εὑρέθην",
peitho,πείθω,verb,persuade,,,,omega,"πείθω;πείσω;ἔπεισα;πέπεικα;πέπεισμαι;ἐπείσθην",
pempo,πέμπω,verb,send,,,,omega,"πέμπω;πέμψω;ἔπεμψα;πέπομφα;πέπεμμαι;ἐπέμφθην",
pino,πίνω,verb,drink,,,,omega,"πίνω;πίομαι;ἔπιον;πέπωκα;πέπομαι;ἐπόθην",
pheugo,φεύγω,verb,flee/escape,,,,omega,"φεύγω;φεύξομαι;ἔφυγον;πέφευγα",
zeteo,ζητέω,verb,seek/search,,,,contract,"ζητέω;ζητήσω;ἐζήτησα;ἐζήτηκα",
phileo,φιλέω,verb,love/like,,,,contract,"φιλέω;φιλήσω;ἐφίλησα;πεφίληκα;πεφίλημαι;ἐφιλήθην",
kaleo,καλέω,verb,call/invite,,,,contract,"καλέω;καλέσω;ἐκάλεσα;κέκληκα;κέκλημαι;ἐκλήθην",
gar,γάρ,conjunction,for/since,,,,,,
epi,ἐπί,preposition,upon/on (gen./dat./acc.),,,,,,
ek,ἐκ,preposition,from/out of (gen.),,,,,,
hos,ὡς,conjunction,as/how/that,,,,,,
heis,εἷς,numeral,one,m,,ἑνός,,,
te,τέ,conjunction,and/both,,,,,,
kata,κατά,preposition,down/according to (acc.),,,,,,
meta,μετά,preposition,with (gen.) / after (acc.),,,,,,
dia,διά,preposition,through (gen.) / because of (acc.),,,,,,
peri,περί,preposition,about (gen.) / around (acc.),,,,,,
heautou,ἑαυτοῦ,pronoun,himself/herself,,,,,,gen-sg-m=ἑαυτοῦ;gen-sg-f=ἑαυτῆς;gen-sg-n=ἑαυτοῦ
alla,ἀλλά,conjunction,but/yet,,,,,,
apo,ἀπό,preposition,from/away from (gen.),,,,,,
hoios,οἷος,pronoun,such as,,,,,,nom-sg-m=οἷος;nom-sg-f=οἵα;nom-sg-n=οἷον
aei,ἀεί,adverb,always/ever,,,,,,
nun,νῦν,adverb,now,,,,,,
oute,οὔτε,conjunction,neither/nor,,,,,,
eti,ἔτι,adverb,still/yet,,,,,,
oude,οὐδέ,conjunction,nor/not even,,,,,,
pote,ποτέ,adverb,once/ever,,,,,,
tote,τότε,adverb,then/at that time,,,,,,
artos,ἄρτος,noun,bread/loaf,m,2,ἄρτου,,,
adelphos,ἀδελφός,noun,brother,m,2,ἀδελφοῦ,,,
haima,αἷμα,noun,blood,n,3,αἵματος,,,
thalassa,θάλασσα,noun,sea,f,1,θαλάσσης,,,
thanatos,θάνατος,noun,death,m,2,θανάτου,,,
oikia,οἰκία,noun,house/home,f,1,οἰκίας,,,
oikos,οἶκος,noun,house/household,m,2,οἴκου,,,
topos,τόπος,noun,place,m,2,τόπου,,,
fobos,φόβος,noun,fear,m,2,φόβου,,,
fone,φωνή,noun,voice/sound,f,1,φωνῆς,,,
xaris,χάρις,noun,grace/favor,f,3,χάριτος,,,
pantokrator,παντοκράτωρ,noun,ruler of all,m,3,παντοκράτορος,,,
angelos_n,ἄγγελος,noun,angel/messenger,m,2,ἀγγέλου,,,
doulos,δοῦλος,noun,slave/servant,m,2,δούλου,,,
eirene,εἰρήνη,noun,peace,f,1,εἰρήνης,,,
exousia,ἐξουσία,noun,authority/power,f,1,ἐξουσίας,,,
entole,ἐντολή,noun,commandment,f,1,ἐντολῆς,,,
euangelion,εὐαγγέλιον,noun,good news/gospel,n,2,εὐαγγελίου,,,
zoe,ζωή,noun,life,f,1,ζωῆς,,,
kosmos,κόσμος,noun,world/order,m,2,κόσμου,,,
mathetes,μαθητής,noun,disciple/student,m,1,μαθητοῦ,,,
nomikos,νομικός,adjective,pertaining to law,,1st/2nd,,,,νομικός;νομική;νομικόν
pistis,πίστις,noun,faith/trust,f,3,πίστεως,,,
pneuma_spirit,πνεῦμα,noun,holy spirit,n,3,πνεύματος,,,
profetes,προφήτης,noun,prophet,m,1,προφήτου,,,
sabbaton,σάββατον,noun,sabbath,n,2,σαββάτου,,,
synagoge,συναγωγή,noun,synagogue/assembly,f,1,συναγωγῆς,,,
teknon,τέκνον,noun,child,n,2,τέκνον,,,
fylake,φυλακή,noun,guard/prison,f,1,φυλακῆς,,,
xristos,χριστός,noun,anointed one/christ,m,2,χριστοῦ,,,
hagios,ἅγιος,adjective,holy/sacred,,1st/2nd,,,,ἅγιος;ἁγία;ἅγιον
pistos,πιστός,adjective,faithful/trustworthy,,1st/2nd,,,,πιστός;πιστή;πιστόν
poneros,πονηρός,adjective,wicked/evil,,1st/2nd,,,,πονηρός;πονηρά;πονηρόν
akouo_v,ἀκούω,verb,listen/hear,,,,omega,"ἀκούω;ἀκούσω;ἤκουσα",
hamartano,ἁμαρτάνω,verb,sin/err,,,,omega,"ἁμαρτάνω;ἁμαρτήσομαι;ἥμαρτον",
apostello,ἀποστέλλω,verb,send out,,,,omega,"ἀποστέλλω;ἀποστελῶ;ἀπέστειλα",
baptizo,βαπτίζω,verb,baptize/dip,,,,omega,"βαπτίζω;βαπτίσω;ἐβάπτισα",
grafo,γράφω,verb,write down,,,,omega,"γράφω;γράψω;ἔγραψα",
doxazo,δοξάζω,verb,glorify/praise,,,,omega,"δοξάζω;δοξάσω;ἐδόξασα",
egeiro,ἐγείρω,verb,raise up,,,,omega,"ἐγείρω;ἐγερώ;ἤγειρα",
eulogeo,εὐλογέω,verb,bless,,,,contract,"εὐλογέω;εὐλογήσω;εὐλόγησα",
therapeuo,θεραπεύω,verb,heal/serve,,,,omega,"θεραπεύω;θεραπεύσω;ἐθεράπευσα",
kerysso,κηρύσσω,verb,proclaim/preach,,,,omega,"κηρύσσω;κηρύξω;ἐκήρυξα",
krino,κρίνω,verb,judge/decide,,,,omega,"κρίνω;κρινῶ;ἔκρινα",
proseuchomai,προσεύχομαι,verb,pray,,,,deponent,"προσεύχομαι;προσεύξομαι;προσηυξάμην",
sozo_v,σῴζω,verb,rescue/save,,,,omega,"σῴζω;σώσω;ἔσωσα",
faino,φαίνω,verb,shine/appear,,,,omega,"φαίνω;φανῶ;ἔφηνα",
xairo,χαίρω,verb,rejoice,,,,omega,"χαίρω;χαιρήσω;ἐχάρην",
Iesous,Ἰησοῦς,noun,Jesus,m,3,Ἰησοῦ,,,acc-sg-m=Ἰησοῦν
didaskalos,διδάσκαλος,noun,teacher,m,2,διδασκάλου,,,
huios,υἱός,noun,son,m,2,υἱοῦ,,,
mache,μάχη,noun,battle,f,1,μάχης,,,
kyrios,κύριος,noun,lord/master,m,2,κυρίου,,,
therapon,θεράπων,noun,servant/attendant,m,3,θεράποντος,,,
agape,ἀγάπη,noun,love,f,1,ἀγάπης,,,
blepo,βλέπω,verb,see/look at,,,,omega,"βλέπω;βλέψω;ἔβλεψα",
esthio,ἐσθίω,verb,eat,,,,irr,"ἐσθίω;ἔδομαι;ἔφαγον;ἐδήδοκα",pres-1sg=ἐσθίω;fut-1sg=ἔδομαι;aor-1sg=ἔφαγον
angelos,ἄγγελος,noun,messenger/angel,m,2nd,ἀγγέλου,,,
chairo,χαίρω,verb,to rejoice/be glad,,,,thematic,χαρήσομαι;ἐχάρην,
