id,text,translation,source_citation,parses
la-s14,Miles mare videt.,The soldier sees the sea.,constructed for practice,"miles|Miles|case=nom,number=sg,gender=m;mare|mare|case=acc,number=sg,gender=n;video|videt|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s15,"Gallia est omnis divisa in partes tres, quarum unam incolunt Belgae.","All Gaul is divided into three parts, one of which the Belgae inhabit.","Caesar, De Bello Gallico 1.1","Gallia|Gallia|case=nom,number=sg,gender=f;sum|est|person=3,number=sg,tense=pres,mood=ind,voice=act;omnis|omnis|case=nom,number=sg,gender=f;divido|divisa|case=nom,number=sg,gender=f,degree=pos,aspect=perf;in|in|type=prep;pars|partes|case=acc,number=pl,gender=f;tres|tres|case=acc,number=pl,gender=f;qui|quarum|case=gen,number=pl,gender=f;unus|unam|case=acc,number=sg,gender=f;incolo|incolunt|person=3,number=pl,tense=pres,mood=ind,voice=act;Belgae|Belgae|case=nom,number=pl,gender=m"
la-s16,"Si hortum in bibliotheca habes, nihil deerit.","If you have a garden in your library, nothing will be lacking.","Cicero, Epistulae ad Familiares 9.4","si|si|type=conj;hortus|hortum|case=acc,number=sg,gender=m;in|in|type=prep;bibliotheca|bibliotheca|case=abl,number=sg,gender=f;habeo|habes|person=2,number=sg,tense=pres,mood=ind,voice=act;nihil|nihil|case=nom,number=sg,gender=n;desum|deerit|person=3,number=sg,tense=fut,mood=ind,voice=act"
la-s17,"Consul, cum in senatum venisset, cives monuit ut urbem defenderent.","When the consul had come into the senate, he warned the citizens to defend the city.",constructed for practice,"consul|consul|case=nom,number=sg,gender=m;cum|cum|type=conj;in|in|type=prep;senatus|senatum|case=acc,number=sg,gender=m;venio|venisset|person=3,number=sg,tense=plup,mood=sub,voice=act;civis|cives|case=acc,number=pl,gender=m;moneo|monuit|person=3,number=sg,tense=perf,mood=ind,voice=act;ut|ut|type=conj;urbs|urbem|case=acc,number=sg,gender=f;defendo|defenderent|person=3,number=pl,tense=imperf,mood=sub,voice=act"
la-s18,"Hostibus victis, imperator militibus praemia promissa dedit.","The enemies having been conquered, the commander gave the promised rewards to the soldiers.",constructed for practice,"hostis|hostibus|case=abl,number=pl,gender=m;vinco|victis|case=abl,number=pl,gender=m,aspect=perf;imperator|imperator|case=nom,number=sg,gender=m;miles|militibus|case=dat,number=pl,gender=m;praemium|praemia|case=acc,number=pl,gender=n;promitto|promissa|case=acc,number=pl,gender=n,aspect=perf;do|dedit|person=3,number=sg,tense=perf,mood=ind,voice=act"
la-s19,Nemo tam stultus est ut libenter periculo se committat.,No one is so foolish that he would willingly commit himself to danger.,constructed for practice,"nemo|nemo|case=nom,number=sg,gender=m;tam|tam|type=adv;stultus|stultus|case=nom,number=sg,gender=m;sum|est|person=3,number=sg,tense=pres,mood=ind,voice=act;ut|ut|type=conj;libenter|libenter|type=adv;periculum|periculo|case=dat,number=sg,gender=n;se|se|case=acc,number=sg,gender=m;committo|committat|person=3,number=sg,tense=pres,mood=sub,voice=act"
la-s20,Timeo Danaos et dona ferentes.,"I fear the Greeks, even when bringing gifts.","Vergil, Aeneid 2.49","timeo|timeo|person=1,number=sg,tense=pres,mood=ind,voice=act;Danai|Danaos|case=acc,number=pl,gender=m;et|et|type=conj;donum|dona|case=acc,number=pl,gender=n;fero|ferentes|case=acc,number=pl,gender=m,tense=pres,aspect=imperf"
la-s21,Multi credunt nos feliciores futuros esse si divitias magnas habeamus.,Many believe that we will be happier if we should have great wealth.,constructed for practice,"multus|multi|case=nom,number=pl,gender=m;credo|credunt|person=3,number=pl,tense=pres,mood=ind,voice=act;nos|nos|case=acc,number=pl,gender=m;felix|feliciores|case=acc,number=pl,gender=m,degree=comp;sum|futuros esse|tense=fut,mood=inf;si|si|type=conj;divitiae|divitias|case=acc,number=pl,gender=f;magnus|magnas|case=acc,number=pl,gender=f;habeo|habeamus|person=1,number=pl,tense=pres,mood=sub,voice=act"
la-s22,"Pueris rogantibus quid accidisset, magister veritatem celare non potuit.","When the boys asked what had happened, the teacher could not hide the truth.",constructed for practice,"puer|pueris|case=dat,number=pl,gender=m;rogo|rogantibus|case=dat,number=pl,gender=m,tense=pres,aspect=imperf;quis|quid|case=nom,number=sg,gender=n;accido|accidisset|person=3,number=sg,tense=plup,mood=sub,voice=act;magister|magister|case=nom,number=sg,gender=m;veritas|veritatem|case=acc,number=sg,gender=f;celo|celare|tense=pres,mood=inf,voice=act;non|non|type=adv;possum|potuit|person=3,number=sg,tense=perf,mood=ind,voice=act"
la-s23,Rex legem bonam populo dicit.,The king speaks a good law to the people.,constructed for practice,"rex|rex|case=nom,number=sg,gender=m;lex|legem|case=acc,number=sg,gender=f;bonus|bonam|case=acc,number=sg,gender=f;populus|populo|case=dat,number=sg,gender=m;dico|dicit|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s24,Pater filium in domum ducit.,The father leads the son into the house.,constructed for practice,"pater|pater|case=nom,number=sg,gender=m;filius|filium|case=acc,number=sg,gender=m;in|in|type=prep;domus|domum|case=acc,number=sg,gender=f;duco|ducit|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s25,Vir fortis magnum ignem timet.,The brave man fears a large fire.,constructed for practice,"vir|vir|case=nom,number=sg,gender=m;fortis|fortis|case=nom,number=sg,gender=m;magnus|magnum|case=acc,number=sg,gender=m;ignis|ignem|case=acc,number=sg,gender=m;timeo|timet|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s26,Femina epistulam fratri scribit.,The woman writes a letter to her brother.,constructed for practice,"femina|femina|case=nom,number=sg,gender=f;epistula|epistulam|case=acc,number=sg,gender=f;frater|fratri|case=dat,number=sg,gender=m;scribo|scribit|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s27,Milites aciem in monte ponunt.,The soldiers place the battle line on the mountain.,constructed for practice,"miles|milites|case=nom,number=pl,gender=m;acies|aciem|case=acc,number=sg,gender=f;in|in|type=prep;mons|monte|case=abl,number=sg,gender=m;pono|ponunt|person=3,number=pl,tense=pres,mood=ind,voice=act"
la-s28,Nox noctem sequitur et dies diem.,Night follows night and day follows day.,constructed for practice,"nox|nox|case=nom,number=sg,gender=f;nox|noctem|case=acc,number=sg,gender=f;sequor|sequitur|person=3,number=sg,tense=pres,mood=ind,voice=dep;et|et|type=conj;dies|dies|case=nom,number=sg,gender=m;dies|diem|case=acc,number=sg,gender=m"
la-s29,Civis de salute pacis quaerit.,The citizen inquires concerning the safety of peace.,constructed for practice,"civis|civis|case=nom,number=sg,gender=m;de|de|type=prep;salus|salute|case=abl,number=sg,gender=f;pax|pacis|case=gen,number=sg,gender=f;quaero|quaerit|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s30,Amicus pecuniam sine mora mittit.,The friend sends money without delay.,constructed for practice,"amicus|amicus|case=nom,number=sg,gender=m;pecunia|pecuniam|case=acc,number=sg,gender=f;sine|sine|type=prep;mora|mora|case=abl,number=sg,gender=f;mitto|mittit|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s31,Nullum periculum animum verum movet.,No danger moves a true mind.,constructed for practice,"nullus|nullum|case=nom,number=sg,gender=n;periculum|periculum|case=nom,number=sg,gender=n;animus|animum|case=acc,number=sg,gender=m;verus|verum|case=acc,number=sg,gender=m;moveo|movet|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s32,Auctoritas ducis legioni spem dat.,The authority of the leader gives hope to the legion.,constructed for practice,"auctoritas|auctoritas|case=nom,number=sg,gender=f;dux|ducis|case=gen,number=sg,gender=m;legio|legioni|case=dat,number=sg,gender=f;spes|spem|case=acc,number=sg,gender=f;do|dat|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s33,Post tempestatem nautae navem in flumine inveniunt.,After the storm the sailors find the ship in the river.,constructed for practice,"post|post|type=prep;tempestas|tempestatem|case=acc,number=sg,gender=f;nauta|nautae|case=nom,number=pl,gender=m;navis|navem|case=acc,number=sg,gender=f;in|in|type=prep;flumen|flumine|case=abl,number=sg,gender=n;invenio|inveniunt|person=3,number=pl,tense=pres,mood=ind,voice=act"
la-s34,Poeta de vita et morte in terra docet.,The poet teaches about life and death on the earth.,constructed for practice,"poeta|poeta|case=nom,number=sg,gender=m;de|de|type=prep;vita|vita|case=abl,number=sg,gender=f;et|et|type=conj;mors|morte|case=abl,number=sg,gender=f;in|in|type=prep;terra|terra|case=abl,number=sg,gender=f;doceo|docet|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s35,Dux audax exercitum per agros agit.,The bold leader drives the army through the fields.,constructed for practice,"dux|dux|case=nom,number=sg,gender=m;audax|audax|case=nom,number=sg,gender=m;exercitus|exercitum|case=acc,number=sg,gender=m;per|per|type=prep;ager|agros|case=acc,number=pl,gender=m;ago|agit|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s36,Saepe stulti fortunam et famam quaerunt.,Often foolish people seek fortune and fame.,constructed for practice,"saepe|saepe|type=adv;stultus|stulti|case=nom,number=pl,gender=m;fortuna|fortunam|case=acc,number=pl,gender=f;et|et|type=conj;fama|famam|case=acc,number=sg,gender=f;quaero|quaerunt|person=3,number=pl,tense=pres,mood=ind,voice=act"
la-s37,Semper veritatem scire volumus.,We always want to know the truth.,constructed for practice,"semper|semper|type=adv;veritas|veritatem|case=acc,number=sg,gender=f;scio|scire|tense=pres,mood=inf,voice=act;volo|volumus|person=1,number=pl,tense=pres,mood=ind,voice=act"
la-s38,Gravis dolor mentem et corpus movet.,Heavy grief affects the mind and the body.,constructed for practice,"gravis|gravis|case=nom,number=sg,gender=m;dolor|dolor|case=nom,number=sg,gender=m;mens|mentem|case=acc,number=sg,gender=f;et|et|type=conj;corpus|corpus|case=acc,number=sg,gender=n;moveo|movet|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s39,Totus populus pacem ab imperatore petit.,The whole people seeks peace from the commander.,constructed for practice,"totus|totus|case=nom,number=sg,gender=m;populus|populus|case=nom,number=sg,gender=m;pax|pacem|case=acc,number=sg,gender=f;ab|ab|type=prep;imperator|imperatore|case=abl,number=sg,gender=m;peto|petit|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s40,Legatus solus ad urbem altam pervenit.,The envoy arrives alone at the high city.,constructed for practice,"legatus|legatus|case=nom,number=sg,gender=m;solus|solus|case=nom,number=sg,gender=m;ad|ad|type=prep;urbs|urbem|case=acc,number=sg,gender=f;altus|altam|case=acc,number=sg,gender=f;pervenio|pervenit|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s41,Pater putat filium magistrum intellegere.,The father thinks that the son understands the teacher.,constructed for practice,"pater|pater|case=nom,number=sg,gender=m;puto|putat|person=3,number=sg,tense=pres,mood=ind,voice=act;filius|filium|case=acc,number=sg,gender=m;magister|magistrum|case=acc,number=sg,gender=m;intellego|intellegere|tense=pres,mood=inf,voice=act"
la-s42,Milites ex castris exire coguntur.,The soldiers are compelled to go out of the camp.,constructed for practice,"miles|milites|case=nom,number=pl,gender=m;ex|ex|type=prep;castra|castris|case=abl,number=pl,gender=n;eo|exire|tense=pres,mood=inf,voice=act;cogo|coguntur|person=3,number=pl,tense=pres,mood=ind,voice=pass"
la-s43,Homines in aede deos colunt et pacem petunt.,Humans worship the gods in the temple and seek peace.,constructed for practice,"homo|homines|case=nom,number=pl,gender=m;in|in|type=prep;aedes|aede|case=abl,number=sg,gender=f;deus|deos|case=acc,number=pl,gender=m;colo|colunt|person=3,number=pl,tense=pres,mood=ind,voice=act;et|et|type=conj;pax|pacem|case=acc,number=sg,gender=f;peto|petunt|person=3,number=pl,tense=pres,mood=ind,voice=act"
la-s44,Imperator equos et copias sub monte manere iubet.,The commander orders the horses and troops to remain under the mountain.,constructed for practice,"imperator|imperator|case=nom,number=sg,gender=m;equus|equos|case=acc,number=pl,gender=m;et|et|type=conj;copia|copias|case=acc,number=pl,gender=f;sub|sub|type=prep;mons|monte|case=abl,number=sg,gender=m;maneo|manere|tense=pres,mood=inf,voice=act;iubeo|iubet|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s45,Dux agmen per longam viam ducit sed hostes tela iaciunt.,The leader leads the column along the long road but the enemies hurl weapons.,constructed for practice,"dux|dux|case=nom,number=sg,gender=m;agmen|agmen|case=acc,number=sg,gender=n;per|per|type=prep;longus|longam|case=acc,number=sg,gender=f;via|viam|case=acc,number=sg,gender=f;duco|ducit|person=3,number=sg,tense=pres,mood=ind,voice=act;sed|sed|type=conj;hostis|hostes|case=nom,number=pl,gender=m;telum|tela|case=acc,number=pl,gender=n;iacio|iaciunt|person=3,number=pl,tense=pres,mood=ind,voice=act"
la-s46,"Postquam rex orationem habuit, pauci cives de eius fide dubitaverunt.","After the king gave a speech, few citizens doubted his loyalty.",constructed for practice,"postquam|postquam|type=conj;rex|rex|case=nom,number=sg,gender=m;oratio|orationem|case=acc,number=sg,gender=f;habeo|habuit|person=3,number=sg,tense=perf,mood=ind,voice=act;paucus|pauci|case=nom,number=pl,gender=m;civis|cives|case=nom,number=pl,gender=m;de|de|type=prep;is|eius|case=gen,number=sg,gender=m;fides|fide|case=abl,number=sg,gender=f;dubito|dubitaverunt|person=3,number=pl,tense=perf,mood=ind,voice=act"
la-s47,Nunc autem amor et amicitia mentem meam tenent.,Now however love and friendship hold my mind.,constructed for practice,"nunc|nunc|type=adv;autem|autem|type=conj;amor|amor|case=nom,number=sg,gender=m;et|et|type=conj;amicitia|amicitia|case=nom,number=sg,gender=f;mens|mentem|case=acc,number=sg,gender=f;meus|meam|case=acc,number=sg,gender=f;teneo|tenent|person=3,number=pl,tense=pres,mood=ind,voice=act"
la-s48,Miles acer in loco aequo stat et officium facit.,The keen soldier stands in a fair place and does his duty.,constructed for practice,"miles|miles|case=nom,number=sg,gender=m;acer|acer|case=nom,number=sg,gender=m;in|in|type=prep;locus|loco|case=abl,number=sg,gender=m;aequus|aequo|case=abl,number=sg,gender=m;sto|stat|person=3,number=sg,tense=pres,mood=ind,voice=act;et|et|type=conj;officium|officium|case=acc,number=sg,gender=n;facio|facit|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s49,Pater suum filium ad se vocat ne malum casum patiatur.,The father calls his own son to himself lest he suffer a bad accident.,constructed for practice,"pater|pater|case=nom,number=sg,gender=m;suus|suum|case=acc,number=sg,gender=m;filius|filium|case=acc,number=sg,gender=m;ad|ad|type=prep;se|se|case=acc,number=sg,gender=m;voco|vocat|person=3,number=sg,tense=pres,mood=ind,voice=act;ne|ne|type=conj;malus|malum|case=acc,number=sg,gender=m;casus|casum|case=acc,number=sg,gender=m;patior|patiatur|person=3,number=sg,tense=pres,mood=sub,voice=dep"
la-s50,Consul dicit se ius et potestatem habere.,The consul says that he has right and power.,constructed for practice,"consul|consul|case=nom,number=sg,gender=m;dico|dicit|person=3,number=sg,tense=pres,mood=ind,voice=act;se|se|case=acc,number=sg,gender=m;ius|ius|case=acc,number=sg,gender=n;et|et|type=conj;potestas|potestatem|case=acc,number=sg,gender=f;habeo|habere|tense=pres,mood=inf,voice=act"
la-s51,Ante lucem exercitus magnitudine sua hostes vicit.,Before dawn the army conquered the enemy by its greatness.,constructed for practice,"ante|ante|type=prep;lux|lucem|case=acc,number=sg,gender=f;exercitus|exercitus|case=nom,number=sg,gender=m;magnitudo|magnitudine|case=abl,number=sg,gender=f;suus|sua|case=abl,number=sg,gender=f;hostis|hostes|case=acc,number=pl,gender=m;vinco|vicit|person=3,number=sg,tense=perf,mood=ind,voice=act"
la-s52,Idem homo fessus laborem ferre debet.,The same tired man ought to bear the labor.,constructed for practice,"idem|idem|case=nom,number=sg,gender=m;homo|homo|case=nom,number=sg,gender=m;fessus|fessus|case=nom,number=sg,gender=m;labor|laborem|case=acc,number=sg,gender=m;fero|ferre|tense=pres,mood=inf,voice=act;debeo|debet|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s53,Inter cives nox finem curae et dolori dat.,Among the citizens night gives an end to care and grief.,constructed for practice,"inter|inter|type=prep;civis|cives|case=acc,number=pl,gender=m;nox|nox|case=nom,number=sg,gender=f;finis|finem|case=acc,number=sg,gender=m;cura|curae|case=dat,number=sg,gender=f;et|et|type=conj;dolor|dolori|case=dat,number=sg,gender=m;do|dat|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s54,Aetas et tempus omnia facta cognoscunt.,Age and time recognize all deeds.,constructed for practice,"aetas|aetas|case=nom,number=sg,gender=f;et|et|type=conj;tempus|tempus|case=nom,number=sg,gender=n;omnis|omnia|case=acc,number=pl,gender=n;factum|facta|case=acc,number=pl,gender=n;cognosco|cognoscunt|person=3,number=pl,tense=pres,mood=ind,voice=act"
la-s55,Cornu altius in caelo ab aliquo videtur.,A horn is seen higher in the sky by someone.,constructed for practice,"cornu|cornu|case=nom,number=sg,gender=n;altus|altius|type=adv,degree=comp;in|in|type=prep;caelum|caelo|case=abl,number=sg,gender=n;ab|ab|type=prep;aliquis|aliquo|case=abl,number=sg,gender=m;video|videtur|person=3,number=sg,tense=pres,mood=ind,voice=pass"
la-s56,Poeta audeat novum opus pro patria gerere.,Let the poet dare to undertake a new work for the fatherland.,constructed for practice,"poeta|poeta|case=nom,number=sg,gender=m;audeo|audeat|person=3,number=sg,tense=pres,mood=sub,voice=act;novus|novum|case=acc,number=sg,gender=n;opus|opus|case=acc,number=sg,gender=n;pro|pro|type=prep;patria|patria|case=abl,number=sg,gender=f;gero|gerere|tense=pres,mood=inf,voice=act"
