id,headword,pos,meaning,gender,declension,genitive,conjugation,principal_parts,forms
rego,rego,verb,rule/guide,,,,3,rego;regere;rexi;rectus,
capio,capio,verb,take/seize,,,,3-io,capio;capere;cepi;captus,
audio,audio,verb,hear,,,,4,audio;audire;audivi;auditus,
civis,civis,noun,citizen,m,3-i,civis,,,
urbs,urbs,noun,city,f,3-i,urbis,,,
mare,mare,noun,sea,n,3-i,maris,,,
et,et,conjunction,"and; also, even",,,,,,
qui,qui,pronoun,who/which/that,,,,,,nom-sg-m=qui;gen-sg-m=cuius;dat-sg-m=cui;acc-sg-m=quem;abl-sg-m=quo;nom-sg-f=quae;gen-sg-f=cuius;dat-sg-f=cui;acc-sg-f=quam;abl-sg-f=qua;nom-sg-n=quod;gen-sg-n=cuius;dat-sg-n=cui;acc-sg-n=quod;abl-sg-n=quo;nom-pl-m=qui;gen-pl-m=quorum;dat-pl-m=quibus;acc-pl-m=quos;abl-pl-m=quibus;nom-pl-f=quae;gen-pl-f=quarum;dat-pl-f=quibus;acc-pl-f=quas;abl-pl-f=quibus;nom-pl-n=quae;gen-pl-n=quorum;dat-pl-n=quibus;acc-pl-n=quae;abl-pl-n=quibus
in,in,preposition,"in, on (acc. into, onto)",,,,,,
non,non,adverb,not,,,,,,
ut,ut,conjunction,"as, how; that, in order that",,,,,,
cum,cum,preposition,"with (abl.); when, since, although",,,,,,
possum,possum,verb,"to be able, can",,,,irregular,"possum, posse, potui",
ad,ad,preposition,"to, toward, at (acc.)",,,,,,
omnis,omnis,adjective,"all, every",,3,omnis,,,omnis;omnis;omne
se,se,pronoun,"himself, herself, itself, themselves",,,,,,gen-sg=sui;dat-sg=sibi;acc-sg=se;abl-sg=se;gen-pl=sui;dat-pl=sibi;acc-pl=se;abl-pl=se
facio,facio,verb,"to do, make",,,,3rd io,"facio, facere, feci, factus",
autem,autem,conjunction,"however, moreover, but",,,,,,
si,si,conjunction,if,,,,,,
dico,dico,verb,"to say, speak, tell",,,,3rd,"dico, dicere, dixi, dictus",
habeo,habeo,verb,"to have, hold, consider",,,,2nd,"habeo, habere, habui, habitus",
de,de,preposition,"down from, about, concerning (abl.)",,,,,,
nec,nec,conjunction,"and not, nor, neither",,,,,,
sed,sed,conjunction,but,,,,,,
per,per,preposition,"through, by means of (acc.)",,,,,,
meus,meus,adjective,"my, mine",,1/2,,,,meus;mea;meum
do,do,verb,"to give, offer",,,,1st,"do, dare, dedi, datus",
unus,unus,numeral,"one, alone",,1/2,,,,unus;una;unum
suus,suus,adjective,"his own, her own, its own, their own",,1/2,,,,suus;sua;suum
venio,venio,verb,to come,,,,4th,"venio, venire, veni, ventum",
homo,homo,noun,"human being, man, person",m,3,hominis,,,
deus,deus,noun,"god, deity",m,2,dei,,,
ne,ne,conjunction,"lest, that... not; (enclitic question marker)",,,,,,
sine,sine,preposition,without (abl.),,,,,,
nullus,nullus,adjective,"no, none, not any",,1/2,,,,nullus;nulla;nullum
multus,multus,adjective,"much, many",,1/2,,,,multus;multa;multum
tempus,tempus,noun,"time, occasion",n,3,temporis,,,
pater,pater,noun,father,m,3,patris,,,
dies,dies,noun,day,m,5,diei,,,
lex,lex,noun,"law, statute",f,3,legis,,,
corpus,corpus,noun,body,n,3,corporis,,,
volo,volo,verb,"to wish, want, be willing",,,,irregular,"volo, velle, volui",
nomen,nomen,noun,name,n,3,nominis,,,
locus,locus,noun,"place, spot, topic",m,2,loci,,,
pars,pars,noun,"part, portion, share",f,3,partis,,,
mors,mors,noun,death,f,3,mortis,,,
terra,terra,noun,"earth, land, ground",f,1,terrae,,,
vita,vita,noun,life,f,1,vitae,,,
puer,puer,noun,"boy, child",m,2,pueri,,,
vir,vir,noun,"man, husband",m,2,viri,,,
annus,annus,noun,year,m,2,anni,,,
caput,caput,noun,"head, chief",n,3,capitis,,,
domus,domus,noun,"house, home",f,4,domus,,,
rex,rex,noun,king,m,3,regis,,,
populus,populus,noun,"people, nation",m,2,populi,,,
nihil,nihil,noun,nothing,n,indeclinable,nihili,,,
credo,credo,verb,"to believe, trust",,,,3rd,"credo, credere, credidi, creditus",
peto,peto,verb,"to seek, ask, attack",,,,3rd,"peto, petere, petivi, petitus",
duco,duco,verb,"to lead, guide, consider",,,,3rd,"duco, ducere, duxi, ductus",
scribo,scribo,verb,to write,,,,3rd,"scribo, scribere, scripsi, scriptus",
teneo,teneo,verb,"to hold, keep, possess",,,,2nd,"teneo, tenere, tenui, tentus",
moveo,moveo,verb,"to move, affect",,,,2nd,"moveo, movere, movi, motus",
scio,scio,verb,"to know, understand",,,,4th,"scio, scire, scivi, scitus",
puto,puto,verb,"to think, suppose",,,,1st,"puto, putare, putavi, putatus",
voco,voco,verb,"to call, invite",,,,1st,"voco, vocare, vocavi, vocatus",
mitto,mitto,verb,"to send, let go",,,,3rd,"mitto, mittere, misi, missus",
quaero,quaero,verb,"to seek, ask, inquire",,,,3rd,"quaero, quaerere, quaesivi, quaesitus",
debeo,debeo,verb,"to owe, ought, must",,,,2nd,"debeo, debere, debui, debitus",
sto,sto,verb,to stand,,,,1st,"sto, stare, steti, status",
timeo,timeo,verb,"to fear, be afraid",,,,2nd,"timeo, timere, timui",
vinco,vinco,verb,"to conquer, defeat",,,,3rd,"vinco, vincere, vici, victus",
fero,fero,verb,"to bear, carry, bring",,,,irregular,"fero, ferre, tuli, latus",
eo,eo,verb,to go,,,,irregular,"eo, ire, ii, itum",
longus,longus,adjective,"long, tall",,1/2,,,,longus;longa;longum
verus,verus,adjective,"true, real",,1/2,,,,verus;vera;verum
solus,solus,adjective,"alone, only",,1/2,,,,solus;sola;solum
totus,totus,adjective,"whole, entire",,1/2,,,,totus;tota;totum
pauci,pauci,adjective,"few, a few",,1/2,,,,pauci;paucae;pauca
malus,malus,adjective,"bad, evil",,1/2,,,,malus;mala;malum
sub,sub,preposition,"under, beneath (abl./acc.)",,,,,,
ex,ex,preposition,"out of, from (abl.)",,,,,,
ab,ab,preposition,"from, away from, by (abl.)",,,,,,
ante,ante,preposition,"before, in front of (acc.)",,,,,,
post,post,preposition,"after, behind (acc.)",,,,,,
inter,inter,preposition,"between, among (acc.)",,,,,,
semper,semper,adverb,always,,,,,,
saepe,saepe,adverb,often,,,,,,
nunc,nunc,adverb,now,,,,,,
tamen,tamen,adverb,"nevertheless, yet, still",,,,,,
accido,accido,verb,"to happen, fall out",,,,3rd,"accido, accidere, accidi",
bibliotheca,bibliotheca,noun,"library",f,1,bibliothecae,,,
celo,celo,verb,"to hide, conceal",,,,1st,"celo, celare, celavi, celatus",
committo,committo,verb,"to entrust, commit",,,,3rd,"committo, committere, commisi, commissus",
consul,consul,noun,"consul",m,3,consulis,,,
defendo,defendo,verb,"to defend, protect",,,,3rd,"defendo, defendere, defendi, defensus",
desum,desum,verb,"to be lacking, fail",,,,irregular,"desum, deesse, defui, defuturus",
divido,divido,verb,"to divide, separate",,,,3rd,"divido, dividere, divisi, divisus",
divitiae,divitiae,noun,"wealth, riches",f,1,divitiarum,,,
donum,donum,noun,"gift, present",n,2,doni,,,
felix,felix,adjective,"happy, fortunate",,3,felicis,,,felix;felix;felix
hortus,hortus,noun,"garden",m,2,horti,,,
hostis,hostis,noun,"enemy",m,3-i,hostis,,,
imperator,imperator,noun,"commander, general",m,3,imperatoris,,,
incolo,incolo,verb,"to inhabit, dwell in",,,,3rd,"incolo, incolere, incolui",
libenter,libenter,adverb,"willingly, gladly",,,,,,
magister,magister,noun,"teacher, master",m,2,magistri,,,
moneo,moneo,verb,"to warn, advise",,,,2nd,"moneo, monere, monui, monitus",
nemo,nemo,pronoun,"no one, nobody",,,,,,nom-sg=nemo;gen-sg=nullius;dat-sg=nemini;acc-sg=neminem;abl-sg=nullo
nos,nos,pronoun,"we, us",,,,,,nom-pl=nos;gen-pl=nostrum;dat-pl=nobis;acc-pl=nos;abl-pl=nobis
periculum,periculum,noun,"danger, peril",n,2,periculi,,,
praemium,praemium,noun,"reward, prize",n,2,praemii,,,
rogo,rogo,verb,"to ask, request",,,,1st,"rogo, rogare, rogavi, rogatus",
senatus,senatus,noun,"senate",m,4,senatus,,,
stultus,stultus,adjective,"foolish, stupid",,1/2,,,,stultus;stulta;stultum
tam,tam,adverb,"so, so much",,,,,,
tres,tres,numeral,"three",,3,,,,tres;tres;tria
veritas,veritas,noun,"truth",f,3,veritatis,,,
accipio,accipio,verb,"to receive, accept",,,,3rd io,"accipio, accipere, accepi, acceptus",
acer,acer,adjective,"sharp, fierce, keen",,3,acris,,,acer;acris;acre
acies,acies,noun,"line of battle, edge",f,5,aciei,,,
aedes,aedes,noun,"building; pl. house",f,3,aedis,,,
aequus,aequus,adjective,"equal, fair, calm",,1/2,,,,aequus;aequa;aequum
aetas,aetas,noun,"age, time of life",f,3,aetatis,,,
ager,ager,noun,"field, land",m,2,agri,,,
agmen,agmen,noun,"column, march, army",n,3,agminis,,,
ago,ago,verb,"to drive, do, act",,,,3rd,"ago, agere, egi, actus",
aio,aio,verb,"to say, affirm",,,,irregular,"aio, ait",
alienus,alienus,adjective,"foreign, strange",,1/2,,,,alienus;aliena;alienum
aliquis,aliquis,pronoun,"someone, anyone, something",,,,,,nom-sg-m=aliquis;nom-sg-f=aliqua;nom-sg-n=aliquid;gen-sg=alicuius;dat-sg=alicui;acc-sg-m=aliquem;acc-sg-n=aliquid;abl-sg=aliquo
alius,alius,adjective,"other, another",,1/2,,,,alius;alia;aliud
alter,alter,adjective,"the other (of two)",,1/2,,,,alter;altera;alterum
altus,altus,adjective,"high, deep",,1/2,,,,altus;alta;altum
amicitia,amicitia,noun,"friendship",f,1,amicitiae,,,
amicus,amicus,noun,"friend",m,2,amici,,,
amitto,amitto,verb,"to lose, send away",,,,3rd,"amitto, amittere, amisi, amissus",
amor,amor,noun,"love, affection",m,3,amoris,,,
animus,animus,noun,"mind, spirit, courage",m,2,animi,,,
at,at,conjunction,"but, yet, at least",,,,,,
atque,atque,conjunction,"and also, and even",,,,,,
auctor,auctor,noun,"author, founder, authority",m,3,auctoris,,,
auctoritas,auctoritas,noun,"authority, influence",f,3,auctoritatis,,,
audax,audax,adjective,"bold, daring",,3,audacis,,,audax;audax;audax
audeo,audeo,verb,"to dare, venture",,,,2nd,"audeo, audere, ausus sum",
aut,aut,conjunction,"or (aut...aut: either...or)",,,,,,
caelum,caelum,noun,"sky, heaven",n,2,caeli,,,
castra,castra,noun,"camp (plural in form)",n,2,castrorum,,,
casus,casus,noun,"fall, chance, accident",m,4,casus,,,
causa,causa,noun,"cause, reason, case",f,1,causae,,,
ceterus,ceterus,adjective,"the rest, the remaining",,1/2,,,,ceterus;cetera;ceterum
cognosco,cognosco,verb,"to learn, recognize",,,,3rd,"cognosco, cognoscere, cognovi, cognitus",
cogo,cogo,verb,"to compel, collect",,,,3rd,"cogo, cogere, coegi, coactus",
copia,copia,noun,"abundance, supply; pl. troops",f,1,copiae,,,
cura,cura,noun,"care, concern, anxiety",f,1,curae,,,
doceo,doceo,verb,"to teach, instruct",,,,2nd,"doceo, docere, docui, doctus",
dolor,dolor,noun,"pain, grief, sorrow",m,3,doloris,,,
dubito,dubito,verb,"to doubt, hesitate",,,,1st,"dubito, dubitare, dubitavi, dubitatus",
equus,equus,noun,"horse",m,2,equi,,,
exercitus,exercitus,noun,"army",m,4,exercitus,,,
factum,factum,noun,"deed, act",n,2,facti,,,
fama,fama,noun,"rumor, fame, reputation",f,1,famae,,,
fateor,fateor,verb,"to confess, admit",,,,2nd dep,"fateor, fateri, fassus sum",
fides,fides,noun,"faith, trust, loyalty",f,5,fidei,,,
filius,filius,noun,"son",m,2,filii,,,
finis,finis,noun,"end, limit; pl. borders",m,3-i,finis,,,
flumen,flumen,noun,"river, stream",n,3,fluminis,,,
fortuna,fortuna,noun,"fortune, luck, fate",f,1,fortunae,,,
frater,frater,noun,"brother",m,3,fratris,,,
gens,gens,noun,"tribe, nation, family",f,3-i,gentis,,,
genus,genus,noun,"race, kind, class",n,3,generis,,,
gero,gero,verb,"to carry on, conduct, wage",,,,3rd,"gero, gerere, gessi, gestus",
gratia,gratia,noun,"favor, thanks, grace",f,1,gratiae,,,
gravis,gravis,adjective,"heavy, serious, severe",,3,gravis,,,gravis;gravis;grave
iacio,iacio,verb,"to throw, hurl",,,,3rd io,"iacio, iacere, ieci, iactus",
iam,iam,adverb,"now, already",,,,,,
idem,idem,pronoun,"the same",,,,,,nom-sg-m=idem;nom-sg-f=eadem;nom-sg-n=idem;gen-sg=eiusdem;dat-sg=eidem;acc-sg-m=eundem;acc-sg-f=eandem;acc-sg-n=idem;abl-sg=eodem
ignis,ignis,noun,"fire",m,3-i,ignis,,,
intellego,intellego,verb,"to understand, realize",,,,3rd,"intellego, intellegere, intellexi, intellectus",
invenio,invenio,verb,"to find, discover",,,,4th,"invenio, invenire, inveni, inventus",
iubeo,iubeo,verb,"to order, command",,,,2nd,"iubeo, iubere, iussi, iussus",
ius,ius,noun,"right, law, justice",n,3,iuris,,,
labor,labor,noun,"work, labor, hardship",m,3,laboris,,,
legatus,legatus,noun,"envoy, lieutenant",m,2,legati,,,
legio,legio,noun,"legion",f,3,legionis,,,
littera,littera,noun,"letter (of alphabet); pl. epistle/literature",f,1,litterae,,,
lux,lux,noun,"light",f,3,lucis,,,
magnitudo,magnitudo,noun,"greatness, size",f,3,magnitudinis,,,
maneo,maneo,verb,"to remain, stay",,,,2nd,"maneo, manere, mansi, mansus",
mens,mens,noun,"mind, thought, intention",f,3-i,mentis,,,
modus,modus,noun,"measure, manner, way",m,2,modi,,,
mons,mons,noun,"mountain",m,3-i,montis,,,
nam,nam,conjunction,"for, instance",,,,,,
navis,navis,noun,"ship",f,3-i,navis,,,
neque,neque,conjunction,"and not, nor",,,,,,
nox,nox,noun,"night",f,3-i,noctis,,,
oculus,oculus,noun,"eye",m,2,oculi,,,
officium,officium,noun,"duty, service",n,2,officii,,,
opera,opera,noun,"work, effort, service",f,1,operae,,,
opus,opus,noun,"work, labor, task",n,3,operis,,,
oratio,oratio,noun,"speech, oration",f,3,orationis,,,
ordo,ordo,noun,"order, rank, row",m,3,ordinis,,,
os,os,noun,"mouth, face",n,3,oris,,,
pax,pax,noun,"peace",f,3,pacis,,,
pecunia,pecunia,noun,"money",f,1,pecuniae,,,
pervenio,pervenio,verb,"to arrive, reach",,,,4th,"pervenio, pervenire, perveni, perventus",
poena,poena,noun,"penalty, punishment",f,1,poenae,,,
pono,pono,verb,"to put, place",,,,3rd,"pono, ponere, posui, positus",
postquam,postquam,conjunction,"after, when",,,,,,
potestas,potestas,noun,"power, opportunity",f,3,potestatis,,,
Gallia,Gallia,noun,Gaul,f,1,Galliae,,,
Belgae,Belgae,noun,Belgae/Belgians,m,1,Belgarum,,,
Danai,Danai,noun,Greeks/Danaans,m,2,Danorum,,,
quis,quis,pronoun,"who, what",,,,,,nom-sg-m=quis;nom-sg-n=quid;acc-sg-n=quid
femina,femina,noun,woman,f,1,feminae,,,
epistula,epistula,noun,letter,f,1,epistulae,,,
salus,salus,noun,"safety, health, greeting",f,3,salutis,,,
mora,mora,noun,"delay, obstacle",f,1,morae,,,
dux,dux,noun,"leader, guide, general",m,3,ducis,,,
spes,spes,noun,hope,f,5,spei,,,
tempestas,tempestas,noun,"storm, season, weather",f,3,tempestatis,,,
nauta,nauta,noun,sailor,m,1,nautae,,,
poeta,poeta,noun,poet,m,1,poetae,,,
colo,colo,verb,"to worship, till, cultivate",,,,3rd,"colo, colere, colui, cultus",
via,via,noun,"road, way, street",f,1,viae,,,
telum,telum,noun,"weapon, javelin, missile",n,2,teli,,,
patior,patior,verb,"to suffer, endure, allow",,,,3rd io dep,"patior, pati, passus sum",
fessus,fessus,adjective,"tired, weary",,1/2,,,,fessus;fessa;fessum
pro,pro,preposition,"for, on behalf of, in front of (abl.)",,,,,,
patria,patria,noun,"fatherland, native country",f,1,patriae,,,
aperio,aperio,verb,"to open, reveal",,,,4th,"aperio, aperire, aperui, apertus",
noster,noster,adjective,"our, ours",,1/2,,,,noster;nostra;nostrum
tu,tu,pronoun,you (singular),,,,,,"nom-sg=tu;gen-sg=tui;dat-sg=tibi;acc-sg=te;abl-sg=te"
servo,servo,verb,"to save, preserve, guard",,,,1st,"servo, servare, servavi, servatus",
promitto,promitto,verb,"to promise, send forth",,,,3rd,"promitto, promittere, promisi, promissus",
ego,ego,pronoun,I/me,,,,,,nom-sg=ego;gen-sg=mei;dat-sg=mihi;acc-sg=me;abl-sg=me
tuus,tuus,adjective,"your, yours (singular)",,1/2,,,,tuus;tua;tuum
longissimus,longus,adjective,"longest, very long",,1/2,,,,longissimus;longissima;longissimum
quod,quod,conjunction,"because, since, that",,,,,,
paucus,paucus,adjective,"few, a few",,1/2,,,,paucus;pauca;paucum
sequor,sequor,verb,"to follow, succeed",,,,3rd dep,"sequor, sequi, secutus sum",
